run,size,algorithm,nanoseconds
2,30000,multimap,2252
3,30000,linear_search,2.91076e+06
3,30000,binary_search_tree,1266
3,30000,red_black_tree,1256
3,30000,hash_table,886
3,30000,multimap,2310
4,30000,linear_search,2.87021e+06
4,30000,binary_search_tree,1170
4,30000,red_black_tree,1054
4,30000,hash_table,918
4,30000,multimap,2250
0,40000,linear_search,3.87222e+06
0,40000,binary_search_tree,1308
0,40000,red_black_tree,1192
0,40000,hash_table,1086
0,40000,multimap,2510
1,40000,linear_search,3.85931e+06
1,40000,binary_search_tree,1254
1,40000,red_black_tree,1172
1,40000,hash_table,980
1,40000,multimap,2578
2,40000,linear_search,3.85784e+06
2,40000,binary_search_tree,1314
2,40000,red_black_tree,1228
2,40000,hash_table,1000
2,40000,multimap,2536
3,40000,linear_search,3.85833e+06
3,40000,binary_search_tree,1394
3,40000,red_black_tree,1268
3,40000,hash_table,1020
3,40000,multimap,2466
4,40000,linear_search,3.88101e+06
4,40000,binary_search_tree,1230
4,40000,red_black_tree,1136
4,40000,hash_table,964
4,40000,multimap,2444
0,50000,linear_search,4.81716e+06
0,50000,binary_search_tree,1346
0,50000,red_black_tree,1158
0,50000,hash_table,1036
0,50000,multimap,2632
1,50000,linear_search,4.83522e+06
1,50000,binary_search_tree,1464
1,50000,red_black_tree,1392
1,50000,hash_table,1166
1,50000,multimap,2738
2,50000,linear_search,4.81079e+06
2,50000,binary_search_tree,1470
2,50000,red_black_tree,1248
2,50000,hash_table,1036
2,50000,multimap,2506
3,50000,linear_search,4.83912e+06
3,50000,binary_search_tree,1448
3,50000,red_black_tree,1288
3,50000,hash_table,1114
3,50000,multimap,2724
4,50000,linear_search,4.75519e+06
4,50000,binary_search_tree,1424
4,50000,red_black_tree,1296
4,50000,hash_table,1114
4,50000,multimap,3038
0,65000,linear_search,6.29061e+06
0,65000,binary_search_tree,1474
0,65000,red_black_tree,1358
0,65000,hash_table,1228
0,65000,multimap,3114
1,65000,linear_search,6.24576e+06
1,65000,binary_search_tree,1550
1,65000,red_black_tree,1472
1,65000,hash_table,1358
1,65000,multimap,3738
2,65000,linear_search,6.31511e+06
2,65000,binary_search_tree,1634
2,65000,red_black_tree,1530
2,65000,hash_table,1308
2,65000,multimap,3400
3,65000,linear_search,6.29514e+06
3,65000,binary_search_tree,1718
3,65000,red_black_tree,1674
3,65000,hash_table,1468
3,65000,multimap,3516
4,65000,linear_search,6.22151e+06
4,65000,binary_search_tree,1562
4,65000,red_black_tree,1500
4,65000,hash_table,1348
4,65000,multimap,3262
0,80000,linear_search,7.7112e+06
0,80000,binary_search_tree,1708
0,80000,red_black_tree,1648
0,80000,hash_table,1662
0,80000,multimap,4182
1,80000,linear_search,7.68356e+06
1,80000,binary_search_tree,1886
1,80000,red_black_tree,1728
1,80000,hash_table,1538
1,80000,multimap,3966
2,80000,linear_search,7.69985e+06
2,80000,binary_search_tree,3366
2,80000,red_black_tree,3316
2,80000,hash_table,3038
2,80000,multimap,5578
3,80000,linear_search,7.77366e+06
3,80000,binary_search_tree,1874
3,80000,red_black_tree,1728
3,80000,hash_table,1624
3,80000,multimap,3994
4,80000,linear_search,7.67895e+06
4,80000,binary_search_tree,1890
4,80000,red_black_tree,1696
4,80000,hash_table,1504
4,80000,multimap,3822
0,100000,linear_search,9.72357e+06
0,100000,binary_search_tree,2064
0,100000,red_black_tree,2158
0,100000,hash_table,1952
0,100000,multimap,4706
1,100000,linear_search,1.09511e+07
1,100000,binary_search_tree,2654
1,100000,red_black_tree,2494
1,100000,hash_table,2274
1,100000,multimap,5054
2,100000,linear_search,9.73797e+06
2,100000,binary_search_tree,2216
2,100000,red_black_tree,2130
2,100000,hash_table,2006
2,100000,multimap,4608
3,100000,linear_search,9.72549e+06
3,100000,binary_search_tree,2012
3,100000,red_black_tree,1876
3,100000,hash_table,1726
3,100000,multimap,4426
4,100000,linear_search,9.91736e+06
4,100000,binary_search_tree,2418
4,100000,red_black_tree,1894
4,100000,hash_table,1834
4,100000,multimap,4502
0,250000,linear_search,2.53345e+07
0,250000,binary_search_tree,3694
